"Price","Mileage","City","State","Make","Model","vehicle age"
"42500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"42500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"52900","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"30900","4250","Salt Lake City"," UT","Acura","TLXFWD","4.0"
"33900","4250","Salt Lake City"," UT","Acura","RDXAWD","3.0"
"42900","4250","Salt Lake City"," UT","Acura","RDXAWD","2.0"
"42500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"42500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"46500","4250","Salt Lake City"," UT","Acura","MDXSH-AWD","3.0"
"35990","4251","Chapel Hill"," NC","Acura","TLXFWD","3.0"
"30838","4258","Morton Grove"," IL","Acura","TLXFWD","4.0"
"21000","4279","Chicago"," IL","Acura","ILXAutomatic","3.0"
"31890","4281","Savannah"," GA","Acura","TLXFWD","3.0"
"22900","4282","Austin"," TX","Acura","ILXAutomatic","3.0"
"31995","4303","West Nyack"," NY","Acura","TLXFWD","3.0"
"27998","4305","Playa Vista"," CA","Acura","TLXFWD","4.0"
"26598","4309","San Juan"," TX","Acura","ILXAutomatic","3.0"
"35831","4311","Milford"," CT","Acura","RDXAWD","3.0"
"30995","4339","West Nyack"," NY","Acura","TLXFWD","3.0"
"33895","4345","West Nyack"," NY","Acura","TLXSH-AWD","3.0"
"44595","4350","West Nyack"," NY","Acura","MDXSH-AWD","3.0"
"37490","4373","Boulder"," CO","Acura","RDXAWD","3.0"
"35900","4403","Naperville"," IL","Acura","RDXAWD","3.0"
"37990","4405","Clearwater"," FL","Acura","RDXFWD","3.0"
"33935","4442","Fort Worth"," TX","Acura","TLXSH-AWD","4.0"
"40595","4443","West Nyack"," NY","Acura","MDXSH-AWD","3.0"
"46998","4443","Palatine"," IL","Acura","MDXSH-AWD","3.0"
"25998","4451","San Juan"," TX","Acura","TLXFWD","4.0"
"25991","4451","Lakeland"," FL","Acura","ILXPremium","3.0"
"31995","4462","Brentwood"," TN","Acura","TLXFWD","3.0"
"24095","4470","Duluth"," GA","Acura","ILXPremium","3.0"
"31000","4477","Peoria"," AZ","Acura","RDXFWD","3.0"
"30900","4500","Cary"," NC","Acura","TLXFWD","3.0"
"36990","4501","Clearwater"," FL","Acura","RDXFWD","3.0"
"18988","4501","Yonkers"," NY","Acura","TL2WD","8.0"
"35995","4506","Brentwood"," TN","Acura","TLXSH-AWD","4.0"
"47995","4507","Brentwood"," TN","Acura","MDXSH-AWD","3.0"
"29815","4508","Bethesda"," MD","Acura","TLXFWD","3.0"
"36980","4518","Reading"," PA","Acura","RDXAWD","3.0"
